pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,1062.33
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,895.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,838.9
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,841.44
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,839.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,840.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,839.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,842.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,840.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,840.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,840.85
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,841.11
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,841.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,838.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,841.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,840.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,843.09
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,845.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,847.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,849.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,844.62
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,846.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,844.96
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,845.67
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,846.26
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,847.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,848.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,844.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,846.1
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,843.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,844.59
